Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 1; Census Tract 1011.10; Los Angeles County; California!!Estimate";1.415;822;91;0;68;0;109;325;193;132
"Block Group 1; Census Tract 1011.10; Los Angeles County; California!!Margin of Error";±353;±292;±143;±13;±52;±13;±155;±214;±178;±94
"Block Group 2; Census Tract 1011.10; Los Angeles County; California!!Estimate";1.826;1.053;30;8;265;0;279;191;115;76
"Block Group 2; Census Tract 1011.10; Los Angeles County; California!!Margin of Error";±379;±258;±41;±16;±142;±13;±254;±112;±93;±63
"Block Group 3; Census Tract 1011.10; Los Angeles County; California!!Estimate";773;551;40;0;57;0;9;116;102;14
"Block Group 3; Census Tract 1011.10; Los Angeles County; California!!Margin of Error";±299;±252;±57;±13;±54;±13;±15;±112;±109;±19
"Block Group 1; Census Tract 1011.22; Los Angeles County; California!!Estimate";2.754;2.070;68;0;375;0;84;157;41;116
"Block Group 1; Census Tract 1011.22; Los Angeles County; California!!Margin of Error";±844;±796;±85;±13;±212;±13;±84;±136;±52;±121
"Block Group 2; Census Tract 1011.22; Los Angeles County; California!!Estimate";1.410;839;8;22;207;0;156;178;82;96
"Block Group 2; Census Tract 1011.22; Los Angeles County; California!!Margin of Error";±374;±254;±14;±38;±190;±13;±139;±114;±84;±79
"Block Group 1; Census Tract 1012.20; Los Angeles County; California!!Estimate";1.307;727;0;0;176;0;155;249;194;55
"Block Group 1; Census Tract 1012.20; Los Angeles County; California!!Margin of Error";±278;±227;±13;±13;±121;±13;±217;±215;±210;±52
"Block Group 2; Census Tract 1012.20; Los Angeles County; California!!Estimate";2.174;1.177;0;87;257;0;314;339;308;31
"Block Group 2; Census Tract 1012.20; Los Angeles County; California!!Margin of Error";±432;±261;±13;±101;±166;±13;±238;±242;±239;±33
"Block Group 1; Census Tract 1012.21; Los Angeles County; California!!Estimate";1.011;447;0;0;193;0;243;128;128;0
"Block Group 1; Census Tract 1012.21; Los Angeles County; California!!Margin of Error";±359;±246;±13;±13;±188;±13;±252;±136;±136;±13
"Block Group 2; Census Tract 1012.21; Los Angeles County; California!!Estimate";2.745;1.734;101;35;121;0;468;286;226;60
"Block Group 2; Census Tract 1012.21; Los Angeles County; California!!Margin of Error";±670;±627;±82;±59;±109;±13;±306;±225;±204;±73
"Block Group 1; Census Tract 1012.22; Los Angeles County; California!!Estimate";2.808;1.525;15;74;138;37;45;974;887;87
"Block Group 1; Census Tract 1012.22; Los Angeles County; California!!Margin of Error";±424;±553;±26;±113;±164;±61;±68;±589;±445;±192
"Block Group 1; Census Tract 1013; Los Angeles County; California!!Estimate";1.080;814;40;0;38;0;152;36;18;18
"Block Group 1; Census Tract 1013; Los Angeles County; California!!Margin of Error";±341;±320;±64;±13;±40;±13;±162;±41;±30;±28
"Block Group 2; Census Tract 1013; Los Angeles County; California!!Estimate";980;666;26;0;152;0;10;126;80;46
"Block Group 2; Census Tract 1013; Los Angeles County; California!!Margin of Error";±363;±321;±32;±13;±103;±13;±22;±90;±76;±43
"Block Group 3; Census Tract 1013; Los Angeles County; California!!Estimate";1.077;1.001;0;0;9;0;12;55;44;11
"Block Group 3; Census Tract 1013; Los Angeles County; California!!Margin of Error";±283;±268;±13;±13;±14;±13;±21;±58;±56;±18
"Block Group 4; Census Tract 1013; Los Angeles County; California!!Estimate";934;737;0;0;11;0;0;186;46;140
"Block Group 4; Census Tract 1013; Los Angeles County; California!!Margin of Error";±346;±316;±13;±13;±18;±13;±13;±139;±50;±133
"Block Group 1; Census Tract 1014; Los Angeles County; California!!Estimate";1.079;677;0;0;137;0;246;19;0;19
"Block Group 1; Census Tract 1014; Los Angeles County; California!!Margin of Error";±361;±304;±13;±13;±129;±13;±235;±37;±13;±37
"Block Group 2; Census Tract 1014; Los Angeles County; California!!Estimate";1.113;646;47;0;141;0;58;221;135;86
"Block Group 2; Census Tract 1014; Los Angeles County; California!!Margin of Error";±335;±201;±71;±13;±118;±13;±59;±241;±179;±71
"Block Group 3; Census Tract 1014; Los Angeles County; California!!Estimate";1.298;846;12;0;113;0;0;327;103;224
"Block Group 3; Census Tract 1014; Los Angeles County; California!!Margin of Error";±299;±286;±22;±13;±98;±13;±13;±280;±75;±226
"Block Group 1; Census Tract 1021.03; Los Angeles County; California!!Estimate";1.834;1.512;23;0;242;0;12;45;11;34
"Block Group 1; Census Tract 1021.03; Los Angeles County; California!!Margin of Error";±502;±494;±42;±13;±158;±13;±19;±37;±13;±33
"Block Group 1; Census Tract 1021.04; Los Angeles County; California!!Estimate";3.123;2.356;82;10;228;0;65;382;67;315
"Block Group 1; Census Tract 1021.04; Los Angeles County; California!!Margin of Error";±513;±466;±64;±21;±180;±13;±81;±179;±64;±169
"Block Group 2; Census Tract 1021.04; Los Angeles County; California!!Estimate";910;633;0;0;245;0;0;32;32;0
"Block Group 2; Census Tract 1021.04; Los Angeles County; California!!Margin of Error";±334;±292;±13;±13;±171;±13;±13;±36;±36;±13
"Block Group 1; Census Tract 1021.05; Los Angeles County; California!!Estimate";590;286;0;19;34;0;110;141;82;59
"Block Group 1; Census Tract 1021.05; Los Angeles County; California!!Margin of Error";±164;±112;±13;±31;±44;±13;±104;±105;±75;±52
"Block Group 2; Census Tract 1021.05; Los Angeles County; California!!Estimate";1.020;222;9;0;73;6;311;399;379;20
"Block Group 2; Census Tract 1021.05; Los Angeles County; California!!Margin of Error";±332;±142;±18;±13;±68;±16;±156;±299;±299;±30
"Block Group 1; Census Tract 1021.07; Los Angeles County; California!!Estimate";2.450;1.728;10;0;305;0;93;314;218;96
"Block Group 1; Census Tract 1021.07; Los Angeles County; California!!Margin of Error";±408;±398;±13;±13;±196;±13;±55;±137;±156;±107
"Block Group 2; Census Tract 1021.07; Los Angeles County; California!!Estimate";1.127;843;13;0;51;0;62;158;89;69
