OBJECTID,Damage,Street Number,Street Name,Street Type,City,State,Zip Code,County,Incident Name,APN,Year Built,Address,GLOBALID,Latitude,Longitude,x,y
101222,No Damage,2190,Grand Oaks,Avenue,Altadena,CA,91001,Los Angeles,Eaton,5857023020,1949,"2190 GRAND OAKS AVE, ALTADENA, CA 91001",9c878aa1-f6e9-4293-86ab-0052cd254b79,34.1835216,-118.1024187,-13147101.11,4053471.198
101223,Destroyed (>50%),512,Devirian ,Place,Altadena,CA,91001,Los Angeles,Eaton,5829023028,1942,"512 DEVIRIAN PL, ALTADENA, CA 91001",9362c772-8783-4d90-8f42-00622b25cbb2,34.1961578,-118.1581326,-13153303.15,4055171.731
101224,No Damage,2211,N Altadena,Drive,Altadena,CA,91001,Los Angeles,Eaton,5857022060,1937,"2211 N ALTADENA DR, ALTADENA, CA 91001",21d11ba8-9278-483b-b091-00ba3c2f2c9c,34.1834656,-118.1007837,-13146919.1,4053463.658
101225,No Damage,1900,N Altadena,Drive,Pasadena,CA,91107,Los Angeles,Eaton,5857017004,1953,"1900 N ALTADENA DR, PASADENA, CA 91107",e4e2b8a2-8230-48d2-887b-00c23103bdeb,34.1786898,-118.0991714,-13146739.63,4052821.007
101226,No Damage,1918,Braeburn,Road,Altadena,CA,91001,Los Angeles,Eaton,5857032003,1926,"1918 BRAEBURN RD, ALTADENA, CA 91001",5324c9c0-3385-4fa6-8171-00eb77b3fdc5,34.1876675,-118.1108517,-13148039.87,4054029.111
101227,Destroyed (>50%),1676,Mendocino ,Street,Altadena,CA,,Los Angeles,Eaton,5846022051,1948,"1676 E MENDOCINO ST, ALTADENA, CA 91001",2cfef7bd-094e-4a94-9fdb-0108ef3a705a,34.1855046,-118.1160652,-13148620.24,4053738.038
101228,No Damage,1754,Sonoma ,Drive,Altadena,CA,91001,Los Angeles,Eaton,5847031014,1927,"1754 SONOMA DR, ALTADENA, CA 91001",0e138101-2452-4648-8aa3-0114c0b7efe3,34.1803062,-118.1144232,-13148437.44,4053038.512
101229,Destroyed (>50%),1630,Carriage House ,Road,Pasadena,CA,91107,Los Angeles,Eaton,5760029006,1960,"1630 CARRIAGE HOUSE RD, PASADENA, CA 91107",0c10b2fb-1615-4015-8de7-011dbfeb4b74,34.1749015,-118.0694147,-13143427.12,4052311.275
101230,Destroyed (>50%),1650,Carriage House ,Road,Pasadena,CA,91107,Los Angeles,Eaton,5760029014,1959,"1650 CARRIAGE HOUSE RD, PASADENA, CA 91107",d3eb9a1c-0af8-418d-bf01-011e0b8cc51c,34.1752569,-118.0698013,-13143470.16,4052359.096
101231,Destroyed (>50%),3288,N Mount Curve,Avenue,Altadena,CA,91001,Los Angeles,Eaton,5842013004,1947,"3288 N MOUNT CURVE AVE, ALTADENA, CA 91001",ae9912b5-fe3a-482b-a7c8-01299f8cb585,34.2004292,-118.1273253,-13149873.7,4055746.632
101232,No Damage,1851,E Calaveras ,Street,Altadena,CA,91001,Los Angeles,Eaton,5846023029,1948,"1851 E CALAVERAS ST, ALTADENA, CA 91001",34d0d4db-7c53-4b0a-a7eb-017548ef5ee7,34.1844174,-118.1123144,-13148202.69,4053591.74
101233,Affected (1-9%),1784,Skyview ,Drive,Altadena,CA,91001,Los Angeles,Eaton,5843025006,1951,"1784 SKYVIEW DR, ALTADENA, CA 91001",39d921fe-15f9-4c74-b324-01888be06606,34.1943787,-118.1134112,-13148324.79,4054932.295
101234,Destroyed (>50%),1734,Calaveras,Street,Altadena,CA,91001,Los Angeles,Eaton,5846024049,1948,"1734 E CALAVERAS ST, ALTADENA, CA 91001",5c69fcea-cb0d-436f-a472-0189a811e72d,34.184078,-118.114691,-13148467.26,4053546.067
101235,No Damage,2764,Eaton Canyon,Drive,Pasadena,CA,91107,Los Angeles,Eaton,5751022900,,"2764 EATON CANYON DR, PASADENA, CA 91107",10bed522-7e51-447d-a4b7-01a658258979,34.1738665,-118.0938439,-13146146.57,4052172.011
101236,Destroyed (>50%),3032,Lincoln ,Avenue,Altadena,CA,91001,Los Angeles,Eaton,5829020023,1946,"3012 LINCOLN AVE, ALTADENA, CA 91001",e05a798e-841b-4e7e-98a2-01a6671fc3f4,34.1977281,-118.1584324,-13153336.53,4055383.083
101237,No Damage,2775,Lincoln,Avenue,Altadena,CA,91001,Los Angeles,Eaton,5828009013,1967,"2775 LINCOLN AVE, ALTADENA, CA 91001",75ea1139-9c19-4112-94f0-01c6dec06799,34.1924649,-118.1592222,-13153424.44,4054674.736
101238,Destroyed (>50%),3216,N Mount Curve,Avenue,Altadena,CA,91001,Los Angeles,Eaton,5842012006,1930,"3216 N MOUNT CURVE AVE, ALTADENA, CA 91001",980c49f0-4d18-4c7e-b923-022cd881c4b8,34.1994165,-118.1263826,-13149768.76,4055610.331
101239,Destroyed (>50%),1615,Hastings Ranch ,Drive,Pasadena,CA,91107,Los Angeles,Eaton,5760030011,1971,"1615 HASTINGS RANCH DR, PASADENA, CA 91107",afe35f23-d89e-438e-b83c-028a09c033bc,34.1752235,-118.07207,-13143722.71,4052354.595
101240,Destroyed (>50%),3499,McNally,Avenue,Altadena,CA,91001,Los Angeles,Eaton,5831013045,1947,"3499 MCNALLY AVE, ALTADENA, CA 91001",f7b6805f-c2e2-4a36-8d1b-02aef4cd363f,34.2043713,-118.1421915,-13151528.59,4056277.221
101241,Affected (1-9%),1668,Calaveras,Street,Altadena,CA,91001,Los Angeles,Eaton,5846024055,1949,"1668 E CALAVERAS ST, ALTADENA, CA 91001",a9e673a7-8fd0-473e-b9dc-02c0a8273657,34.1840165,-118.1160052,-13148613.56,4053537.793
