"﻿""GEO_ID""",NAME,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0081E,DP05_0082E,DP05_0033PE,DP05_0069PE,DP05_0070PE,DP05_0071PE,DP05_0071PM,DP05_0072PE,DP05_0073PE,DP05_0074PE,DP05_0076PE,DP05_0081PE
Geography,Geographic Area Name,Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent!!RACE!!Total population,Percent!!Race alone or in combination with one or more other races!!Total population!!White,Percent!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Margin of Error!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino
0500000US06037,"Los Angeles County, California",9848406,5010533,927348,266083,1689402,57803,3644809,9848406,4753369,5095037,2477324,9848406,50.9,9.4,2.7,0.1,17.2,0.6,37,48.3,51.7
1400000US06037101110,Census Tract 1011.10; Los Angeles County; California,4152,3106,191,175,340,5,1188,4152,1427,2725,2201,4152,74.8,4.6,4.2,2.9,8.2,0.1,28.6,34.4,65.6
1400000US06037101122,Census Tract 1011.22; Los Angeles County; California,4198,3304,67,87,589,24,444,4198,413,3785,3036,4198,78.7,1.6,2.1,2.3,14,0.6,10.6,9.8,90.2
1400000US06037101220,Census Tract 1012.20; Los Angeles County; California,3434,2330,26,102,499,0,1103,3434,1312,2122,1517,3434,67.9,0.8,3,2.9,14.5,0,32.1,38.2,61.8
1400000US06037101221,Census Tract 1012.21; Los Angeles County; California,3931,2438,293,84,500,0,1376,3931,1428,2503,1725,3931,62,7.5,2.1,2,12.7,0,35,36.3,63.7
1400000US06037101222,Census Tract 1012.22; Los Angeles County; California,2572,2310,72,150,69,25,936,2572,1274,1298,1182,2572,89.8,2.8,5.8,6.4,2.7,1,36.4,49.5,50.5
1400000US06037101300,Census Tract 1013; Los Angeles County; California,4210,3618,73,28,353,0,657,4210,657,3553,3030,4210,85.9,1.7,0.7,0.7,8.4,0,15.6,15.6,84.4
1400000US06037101400,Census Tract 1014; Los Angeles County; California,3489,2970,58,169,446,0,584,3489,740,2749,2197,3489,85.1,1.7,4.8,4.8,12.8,0,16.7,21.2,78.8
1400000US06037102103,Census Tract 1021.03; Los Angeles County; California,2054,1730,51,13,260,0,49,2054,102,1952,1625,2054,84.2,2.5,0.6,0.7,12.7,0,2.4,5,95
1400000US06037102104,Census Tract 1021.04; Los Angeles County; California,4052,3389,138,96,623,12,326,4052,532,3520,2822,4052,83.6,3.4,2.4,2.2,15.4,0.3,8,13.1,86.9
1400000US06037102105,Census Tract 1021.05; Los Angeles County; California,1664,1027,73,17,203,7,937,1664,1096,568,300,1664,61.7,4.4,1,1.6,12.2,0.4,56.3,65.9,34.1
1400000US06037102107,Census Tract 1021.07; Los Angeles County; California,3595,3088,61,36,421,0,375,3595,606,2989,2552,3595,85.9,1.7,1,1.3,11.7,0,10.4,16.9,83.1
