observed_on,updated_at,num_identification_agreements,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,scientific_name,common_name
1/29/2012,2021-01-20 01:40:48 UTC,1,"34.03779220581055, -118.750244140625",34.03779221,-118.7502441,5,5,Quercus agrifolia,coast live oak
3/6/2012,2015-07-01 01:06:17 UTC,3,Central Hahamongna Park,34.19346985,-118.1753397,,,Quercus agrifolia,coast live oak
3/22/2012,2015-07-01 01:16:52 UTC,3,Eaton Canyon,34.19306607,-118.1043148,,,Quercus agrifolia,coast live oak
6/15/2012,2021-01-20 01:40:40 UTC,1,Santa Monica Mountains,34.06002816,-118.9326936,55,55,Quercus agrifolia,coast live oak
7/4/2012,2016-05-17 20:01:59 UTC,2,Eaton Canyon park,34.1848423,-118.0954422,811,811,Quercus agrifolia,coast live oak
7/18/2012,2014-10-19 18:45:38 UTC,2,"4532–4580 Oak Grove Dr, Pasadena, California, US",34.188598,-118.1779118,5,5,Quercus agrifolia,coast live oak
7/28/2012,2018-01-13 18:10:40 UTC,1,Rio de Los Angeles State Park,34.09741306,-118.2372665,,,Quercus agrifolia,coast live oak
7/28/2012,2014-10-19 18:55:21 UTC,1,Eaton Canyon,34.17924822,-118.096749,,,Quercus agrifolia,coast live oak
7/13/2012,2015-07-01 06:21:25 UTC,2,lower arroyo park,34.1402854,-118.167294,1795,1795,Quercus agrifolia,coast live oak
7/23/2012,2014-10-19 18:56:19 UTC,2,"Lower arroyo park, Pasadena",34.14402376,-118.165792,109,109,Quercus agrifolia,coast live oak
7/3/2012,2014-10-19 18:56:26 UTC,2,"Eaton Canyon Natural Area, Pasadena, CA, USA",34.177118,-118.096749,1795,1795,Quercus agrifolia,coast live oak
7/30/2012,2014-10-19 18:57:33 UTC,1,"Eaton Canyon Creek, Pasadena, California, US",34.181549,-118.096219,5,5,Quercus agrifolia,coast live oak
