geoid,name,B01003001,"B01003001, Error"
15000US060371011101,"BG 1, Tract 1011.10, Los Angeles, CA",1500,449
15000US060371011102,"BG 2, Tract 1011.10, Los Angeles, CA",1825,418
15000US060371011103,"BG 3, Tract 1011.10, Los Angeles, CA",827,376
15000US060371011221,"BG 1, Tract 1011.22, Los Angeles, CA",2481,851
15000US060371011222,"BG 2, Tract 1011.22, Los Angeles, CA",1717,362
15000US060371012201,"BG 1, Tract 1012.20, Los Angeles, CA",1304,315
15000US060371012202,"BG 2, Tract 1012.20, Los Angeles, CA",2130,411
15000US060371012211,"BG 1, Tract 1012.21, Los Angeles, CA",1000,338
15000US060371012212,"BG 2, Tract 1012.21, Los Angeles, CA",2931,663
15000US060371012221,"BG 1, Tract 1012.22, Los Angeles, CA",2572,397
15000US060371013001,"BG 1, Tract 1013, Los Angeles, CA",1112,386
15000US060371013002,"BG 2, Tract 1013, Los Angeles, CA",1065,347
15000US060371013003,"BG 3, Tract 1013, Los Angeles, CA",1073,339
15000US060371013004,"BG 4, Tract 1013, Los Angeles, CA",960,337
15000US060371014001,"BG 1, Tract 1014, Los Angeles, CA",782,382
15000US060371014002,"BG 2, Tract 1014, Los Angeles, CA",1414,431
15000US060371014003,"BG 3, Tract 1014, Los Angeles, CA",1293,346
15000US060371021031,"BG 1, Tract 1021.03, Los Angeles, CA",2054,525
15000US060371021041,"BG 1, Tract 1021.04, Los Angeles, CA",2755,515
15000US060371021042,"BG 2, Tract 1021.04, Los Angeles, CA",1297,497
15000US060371021051,"BG 1, Tract 1021.05, Los Angeles, CA",475,158
15000US060371021052,"BG 2, Tract 1021.05, Los Angeles, CA",1189,355
15000US060371021071,"BG 1, Tract 1021.07, Los Angeles, CA",2336,343
15000US060371021072,"BG 2, Tract 1021.07, Los Angeles, CA",1259,630
15000US060371031011,"BG 1, Tract 1031.01, Los Angeles, CA",1685,188
15000US060371031012,"BG 2, Tract 1031.01, Los Angeles, CA",1020,359
15000US060371031021,"BG 1, Tract 1031.02, Los Angeles, CA",474,170
15000US060371031022,"BG 2, Tract 1031.02, Los Angeles, CA",453,218
15000US060371031023,"BG 3, Tract 1031.02, Los Angeles, CA",1403,454
15000US060371031024,"BG 4, Tract 1031.02, Los Angeles, CA",1222,458
15000US060371031025,"BG 5, Tract 1031.02, Los Angeles, CA",916,417
15000US060371032011,"BG 1, Tract 1032.01, Los Angeles, CA",2462,368
15000US060371032012,"BG 2, Tract 1032.01, Los Angeles, CA",1963,535
15000US060371032021,"BG 1, Tract 1032.02, Los Angeles, CA",1945,645
15000US060371033001,"BG 1, Tract 1033, Los Angeles, CA",1679,474
15000US060371033002,"BG 2, Tract 1033, Los Angeles, CA",2342,500
15000US060371034011,"BG 1, Tract 1034.01, Los Angeles, CA",2552,405
15000US060371034021,"BG 1, Tract 1034.02, Los Angeles, CA",1051,416
15000US060371034022,"BG 2, Tract 1034.02, Los Angeles, CA",805,331
15000US060371034023,"BG 3, Tract 1034.02, Los Angeles, CA",465,188
15000US060371034024,"BG 4, Tract 1034.02, Los Angeles, CA",1488,469
15000US060371041031,"BG 1, Tract 1041.03, Los Angeles, CA",2021,496
15000US060371041032,"BG 2, Tract 1041.03, Los Angeles, CA",2236,843
15000US060371041051,"BG 1, Tract 1041.05, Los Angeles, CA",1906,683
15000US060371041052,"BG 2, Tract 1041.05, Los Angeles, CA",2706,638
15000US060371041053,"BG 3, Tract 1041.05, Los Angeles, CA",1278,482
15000US060371041081,"BG 1, Tract 1041.08, Los Angeles, CA",2008,693
15000US060371041082,"BG 2, Tract 1041.08, Los Angeles, CA",1761,600
15000US060371041083,"BG 3, Tract 1041.08, Los Angeles, CA",1183,567
15000US060371041241,"BG 1, Tract 1041.24, Los Angeles, CA",1605,486
15000US060371041242,"BG 2, Tract 1041.24, Los Angeles, CA",1842,520
15000US060371041243,"BG 3, Tract 1041.24, Los Angeles, CA",643,252
15000US060371042011,"BG 1, Tract 1042.01, Los Angeles, CA",1199,599
15000US060371042012,"BG 2, Tract 1042.01, Los Angeles, CA",1976,503
15000US060371042013,"BG 3, Tract 1042.01, Los Angeles, CA",1150,451
15000US060371042031,"BG 1, Tract 1042.03, Los Angeles, CA",2051,805
15000US060371042032,"BG 2, Tract 1042.03, Los Angeles, CA",2927,859
15000US060371042041,"BG 1, Tract 1042.04, Los Angeles, CA",1493,403
15000US060371042042,"BG 2, Tract 1042.04, Los Angeles, CA",2243,507
15000US060371043101,"BG 1, Tract 1043.10, Los Angeles, CA",1500,581
15000US060371043102,"BG 2, Tract 1043.10, Los Angeles, CA",1582,453
15000US060371043103,"BG 3, Tract 1043.10, Los Angeles, CA",1394,445
15000US060371043211,"BG 1, Tract 1043.21, Los Angeles, CA",991,476
15000US060371043212,"BG 2, Tract 1043.21, Los Angeles, CA",1454,579
15000US060371043213,"BG 3, Tract 1043.21, Los Angeles, CA",481,293
15000US060371043221,"BG 1, Tract 1043.22, Los Angeles, CA",1277,206
15000US060371043222,"BG 2, Tract 1043.22, Los Angeles, CA",579,156
15000US060371044011,"BG 1, Tract 1044.01, Los Angeles, CA",1947,532
15000US060371044012,"BG 2, Tract 1044.01, Los Angeles, CA",1136,246
15000US060371044031,"BG 1, Tract 1044.03, Los Angeles, CA",1522,339
15000US060371044032,"BG 2, Tract 1044.03, Los Angeles, CA",770,230
15000US060371044041,"BG 1, Tract 1044.04, Los Angeles, CA",1641,485
15000US060371044042,"BG 2, Tract 1044.04, Los Angeles, CA",1733,361
15000US060371045001,"BG 1, Tract 1045, Los Angeles, CA",1980,835
15000US060371045002,"BG 2, Tract 1045, Los Angeles, CA",1559,436
15000US060371046101,"BG 1, Tract 1046.10, Los Angeles, CA",1916,464
15000US060371046102,"BG 2, Tract 1046.10, Los Angeles, CA",1208,409
15000US060371046201,"BG 1, Tract 1046.20, Los Angeles, CA",1107,281
15000US060371046202,"BG 2, Tract 1046.20, Los Angeles, CA",2159,460
15000US060371047011,"BG 1, Tract 1047.01, Los Angeles, CA",627,284
15000US060371047012,"BG 2, Tract 1047.01, Los Angeles, CA",2320,533
15000US060371047013,"BG 3, Tract 1047.01, Los Angeles, CA",969,362
15000US060371047031,"BG 1, Tract 1047.03, Los Angeles, CA",1327,329
15000US060371047032,"BG 2, Tract 1047.03, Los Angeles, CA",979,468
15000US060371047041,"BG 1, Tract 1047.04, Los Angeles, CA",1721,441
15000US060371047042,"BG 2, Tract 1047.04, Los Angeles, CA",1944,785
15000US060371047043,"BG 3, Tract 1047.04, Los Angeles, CA",997,360
15000US060371048211,"BG 1, Tract 1048.21, Los Angeles, CA",2260,407
15000US060371048212,"BG 2, Tract 1048.21, Los Angeles, CA",1216,555
15000US060371048221,"BG 1, Tract 1048.22, Los Angeles, CA",2199,309
15000US060371048231,"BG 1, Tract 1048.23, Los Angeles, CA",1838,503
15000US060371048232,"BG 2, Tract 1048.23, Los Angeles, CA",1357,757
15000US060371048241,"BG 1, Tract 1048.24, Los Angeles, CA",778,348
15000US060371048242,"BG 2, Tract 1048.24, Los Angeles, CA",1804,1123
15000US060371060101,"BG 1, Tract 1060.10, Los Angeles, CA",1736,666
15000US060371060102,"BG 2, Tract 1060.10, Los Angeles, CA",2313,525
